Age Group,Gender,Country,Education Level,Recent Job Title,Coding Experience,Industry,Company Size,Num Language,Average Annual Salary ($USD)
50-54,Man,India,Bachelor’s degree,Other,5-10 ,Manufacturing/Fabrication,50-249 ,2,27499.5
50-54,Man,Indonesia,Master’s degree,Program/Project Manager,20+ ,Manufacturing/Fabrication,"1000-9,999 ",4,64999.5
22-24,Man,Pakistan,Master’s degree,Software Engineer,1-3 ,Academics/Education,"1000-9,999 ",3,499.5
45-49,Man,Mexico,Doctoral degree,Research Scientist,20+ ,Academics/Education,"1000-9,999 ",1,34999.5
45-49,Man,India,Doctoral degree,Other,< 1 ,Academics/Education,50-249 ,3,34999.5
30-34,Man,India,Bachelor’s degree,Data Scientist,5-10 ,Computers/Technology,"10,000 or more ",1,17499.5
30-34,Man,Turkey,I prefer not to answer,Other,1-3 ,Manufacturing/Fabrication,50-249 ,2,499.5
40-44,Man,Australia,Doctoral degree,Other,1-3 ,Other,0-49 ,3,74999.5
45-49,Man,Nigeria,Master’s degree,Program/Project Manager,5-10 ,Shipping/Transportation,"1000-9,999 ",2,2499.5
22-24,Man,Nigeria,Bachelor’s degree,Other,< 1 ,Academics/Education,0-49 ,1,499.5
35-39,Man,Greece,Doctoral degree,Research Scientist,10-20 ,Academics/Education,50-249 ,4,12499.5
50-54,Man,Belgium,Bachelor’s degree,Data Analyst,20+ ,Energy/Mining,"1000-9,999 ",2,2499.5
18-21,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,2,499.5
30-34,Man,Egypt,Bachelor’s degree,Other,< 1 ,Shipping/Transportation,"10,000 or more ",0,6249.5
70+,Man,Singapore,Bachelor’s degree,Other,< 1 ,Manufacturing/Fabrication,250-999 ,1,22499.5
25-29,Woman,Turkey,Bachelor’s degree,Data Scientist,3-5 ,Computers/Technology,"10,000 or more ",4,1499.5
25-29,Woman,Poland,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,0-49 ,2,27499.5
45-49,Man,Brazil,Doctoral degree,Research Scientist,< 1 ,Academics/Education,50-249 ,2,499.5
22-24,Woman,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,3-5 ,Academics/Education,0-49 ,1,499.5
22-24,Man,India,Bachelor’s degree,Other,1-3 ,Computers/Technology,"1000-9,999 ",1,8749.5
22-24,Nonbinary,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 ,Manufacturing/Fabrication,250-999 ,1,0.0
30-34,Woman,Egypt,Bachelor’s degree,Data Analyst,3-5 ,Non-profit/Service,0-49 ,1,8749.5
22-24,Man,Japan,No formal education past high school,Software Engineer,3-5 ,Computers/Technology,0-49 ,3,2499.5
25-29,Man,Brazil,Master’s degree,Data Scientist,5-10 ,Insurance/Risk Assessment,"10,000 or more ",2,0.0
25-29,Man,Italy,Master’s degree,Other,1-3 ,Energy/Mining,0-49 ,2,34999.5
55-59,Man,United States of America,Master’s degree,Software Engineer,10-20 ,Computers/Technology,0-49 ,3,17499.5
30-34,Woman,Viet Nam,Master’s degree,Machine Learning Engineer,1-3 ,Academics/Education,50-249 ,1,4499.5
22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 ,Computers/Technology,0-49 ,7,499.5
25-29,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 ,Hospitality/Entertainment/Sports,"10,000 or more ",5,1499.5
40-44,Man,United States of America,Bachelor’s degree,Research Scientist,< 1 ,Manufacturing/Fabrication,"1000-9,999 ",0,74999.5
40-44,Man,South Africa,Master’s degree,Data Analyst,1-3 ,Manufacturing/Fabrication,250-999 ,2,27499.5
40-44,Man,Other,Master’s degree,Business Analyst,1-3 ,Accounting/Finance,50-249 ,2,64999.5
22-24,Woman,Bangladesh,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,250-999 ,1,8749.5
35-39,Woman,Russia,I prefer not to answer,Data Scientist,1-3 ,Academics/Education,"1000-9,999 ",2,499.5
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,50-249 ,3,499.5
35-39,Man,India,Bachelor’s degree,Program/Project Manager,1-3 ,Government/Public Service,"10,000 or more ",2,2499.5
18-21,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,0-49 ,2,499.5
30-34,Man,Japan,Master’s degree,Data Scientist,1-3 ,Online Service/Internet-based Services,250-999 ,3,44999.5
40-44,Man,Russia,Doctoral degree,Data Engineer,1-3 ,Accounting/Finance,0-49 ,4,499.5
30-34,Prefer not to say,China,I prefer not to answer,Data Analyst,< 1 ,Computers/Technology,0-49 ,1,499.5
30-34,Man,Other,Master’s degree,Business Analyst,1-3 ,Online Service/Internet-based Services,"1000-9,999 ",1,8749.5
35-39,Man,India,Bachelor’s degree,Other,< 1 ,Online Business/Internet-based Sales,0-49 ,2,2499.5
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,20+ ,Online Service/Internet-based Services,250-999 ,2,54999.5
22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Other,3-5 ,Online Business/Internet-based Sales,0-49 ,2,6249.5
30-34,Woman,"Iran, Islamic Republic of...",Master’s degree,Software Engineer,5-10 ,Computers/Technology,"1000-9,999 ",2,3499.5
45-49,Man,Turkey,Master’s degree,Program/Project Manager,20+ ,Academics/Education,250-999 ,2,3499.5
40-44,Man,France,Doctoral degree,Research Scientist,3-5 ,Manufacturing/Fabrication,0-49 ,3,3499.5
22-24,Man,China,Master’s degree,Business Analyst,< 1 ,Accounting/Finance,"1000-9,999 ",1,22499.5
